t,v
2010-12-25T00:00:00Z,64860
2010-12-26T00:00:00Z,65069
2010-12-27T00:00:00Z,64982
2010-12-28T00:00:00Z,65230
2010-12-29T00:00:00Z,65318
2010-12-30T00:00:00Z,65428
2010-12-31T00:00:00Z,65600
2011-01-01T00:00:00Z,65788
2011-01-02T00:00:00Z,65886
2011-01-03T00:00:00Z,65944
2011-01-04T00:00:00Z,66135
2011-01-05T00:00:00Z,66090
2011-01-06T00:00:00Z,66142
2011-01-07T00:00:00Z,66283
2011-01-08T00:00:00Z,66467
2011-01-09T00:00:00Z,66611
2011-01-10T00:00:00Z,66795
2011-01-11T00:00:00Z,66936
2011-01-12T00:00:00Z,67112
2011-01-13T00:00:00Z,67000
2011-01-14T00:00:00Z,66914
2011-01-15T00:00:00Z,67113
2011-01-16T00:00:00Z,67227
2011-01-17T00:00:00Z,67445
2011-01-18T00:00:00Z,67556
2011-01-19T00:00:00Z,67662
2011-01-20T00:00:00Z,67856
2011-01-21T00:00:00Z,67955
2011-01-22T00:00:00Z,68089
2011-01-23T00:00:00Z,68079
2011-01-24T00:00:00Z,68263
2011-01-25T00:00:00Z,68437
2011-01-26T00:00:00Z,68539
2011-01-27T00:00:00Z,68483
2011-01-28T00:00:00Z,68673
2011-01-29T00:00:00Z,68809
2011-01-30T00:00:00Z,68920
2011-01-31T00:00:00Z,69007
2011-02-01T00:00:00Z,69009
2011-02-02T00:00:00Z,69061
2011-02-03T00:00:00Z,69131
2011-02-04T00:00:00Z,69220
2011-02-05T00:00:00Z,69169
2011-02-06T00:00:00Z,69257
2011-02-07T00:00:00Z,69343
2011-02-08T00:00:00Z,69430
2011-02-09T00:00:00Z,69738
2011-02-10T00:00:00Z,70381
2011-02-11T00:00:00Z,71265
2011-02-12T00:00:00Z,72013
2011-02-13T00:00:00Z,72401
2011-02-14T00:00:00Z,72161
2011-02-15T00:00:00Z,72504
2011-02-16T00:00:00Z,72761
2011-02-17T00:00:00Z,73497
2011-02-18T00:00:00Z,73961
