Date_Key,Country,Country_Code,Fact,Fact_Type,Source
24/2/19,Romania,ROU,3,SearchInterest,Google
3/3/19,Romania,ROU,3,SearchInterest,Google
10/3/19,Romania,ROU,2,SearchInterest,Google
17/3/19,Romania,ROU,3,SearchInterest,Google
24/3/19,Romania,ROU,3,SearchInterest,Google
31/3/19,Romania,ROU,5,SearchInterest,Google
7/4/19,Romania,ROU,4,SearchInterest,Google
14/4/19,Romania,ROU,3,SearchInterest,Google
21/4/19,Romania,ROU,4,SearchInterest,Google
28/4/19,Romania,ROU,3,SearchInterest,Google
5/5/19,Romania,ROU,4,SearchInterest,Google
12/5/19,Romania,ROU,7,SearchInterest,Google
19/5/19,Romania,ROU,5,SearchInterest,Google
26/5/19,Romania,ROU,5,SearchInterest,Google
2/6/19,Romania,ROU,4,SearchInterest,Google
9/6/19,Romania,ROU,5,SearchInterest,Google
16/6/19,Romania,ROU,5,SearchInterest,Google
23/6/19,Romania,ROU,9,SearchInterest,Google
30/6/19,Romania,ROU,6,SearchInterest,Google
7/7/19,Romania,ROU,4,SearchInterest,Google
14/7/19,Romania,ROU,4,SearchInterest,Google
21/7/19,Romania,ROU,4,SearchInterest,Google
28/7/19,Romania,ROU,5,SearchInterest,Google
4/8/19,Romania,ROU,5,SearchInterest,Google
11/8/19,Romania,ROU,5,SearchInterest,Google
18/8/19,Romania,ROU,4,SearchInterest,Google
25/8/19,Romania,ROU,25,SearchInterest,Google
1/9/19,Romania,ROU,94,SearchInterest,Google
8/9/19,Romania,ROU,100,SearchInterest,Google
15/9/19,Romania,ROU,89,SearchInterest,Google
22/9/19,Romania,ROU,55,SearchInterest,Google
29/9/19,Romania,ROU,4,SearchInterest,Google
6/10/19,Romania,ROU,3,SearchInterest,Google
13/10/19,Romania,ROU,3,SearchInterest,Google
20/10/19,Romania,ROU,3,SearchInterest,Google
27/10/19,Romania,ROU,4,SearchInterest,Google
3/11/19,Romania,ROU,3,SearchInterest,Google
10/11/19,Romania,ROU,3,SearchInterest,Google
17/11/19,Romania,ROU,3,SearchInterest,Google
24/11/19,Romania,ROU,4,SearchInterest,Google
1/12/19,Romania,ROU,3,SearchInterest,Google
8/12/19,Romania,ROU,3,SearchInterest,Google
15/12/19,Romania,ROU,4,SearchInterest,Google
22/12/19,Romania,ROU,4,SearchInterest,Google
29/12/19,Romania,ROU,4,SearchInterest,Google
5/1/20,Romania,ROU,4,SearchInterest,Google
12/1/20,Romania,ROU,4,SearchInterest,Google
19/1/20,Romania,ROU,4,SearchInterest,Google
26/1/20,Romania,ROU,4,SearchInterest,Google
2/2/20,Romania,ROU,4,SearchInterest,Google
9/2/20,Romania,ROU,5,SearchInterest,Google
16/2/20,Romania,ROU,4,SearchInterest,Google
23/2/20,Romania,ROU,4,SearchInterest,Google
1/3/20,Romania,ROU,4,SearchInterest,Google
8/3/20,Romania,ROU,11,SearchInterest,Google
15/3/20,Romania,ROU,11,SearchInterest,Google
22/3/20,Romania,ROU,7,SearchInterest,Google
29/3/20,Romania,ROU,8,SearchInterest,Google
5/4/20,Romania,ROU,9,SearchInterest,Google
12/4/20,Romania,ROU,6,SearchInterest,Google
19/4/20,Romania,ROU,6,SearchInterest,Google
26/4/20,Romania,ROU,8,SearchInterest,Google
3/5/20,Romania,ROU,8,SearchInterest,Google
10/5/20,Romania,ROU,9,SearchInterest,Google
17/5/20,Romania,ROU,6,SearchInterest,Google
24/5/20,Romania,ROU,5,SearchInterest,Google
31/5/20,Romania,ROU,6,SearchInterest,Google
7/6/20,Romania,ROU,5,SearchInterest,Google
14/6/20,Romania,ROU,5,SearchInterest,Google
21/6/20,Romania,ROU,4,SearchInterest,Google
28/6/20,Romania,ROU,4,SearchInterest,Google
5/7/20,Romania,ROU,4,SearchInterest,Google
12/7/20,Romania,ROU,3,SearchInterest,Google
19/7/20,Romania,ROU,4,SearchInterest,Google
26/7/20,Romania,ROU,7,SearchInterest,Google
2/8/20,Romania,ROU,6,SearchInterest,Google
9/8/20,Romania,ROU,5,SearchInterest,Google
16/8/20,Romania,ROU,5,SearchInterest,Google
23/8/20,Romania,ROU,5,SearchInterest,Google
30/8/20,Romania,ROU,5,SearchInterest,Google
6/9/20,Romania,ROU,5,SearchInterest,Google
13/9/20,Romania,ROU,5,SearchInterest,Google
20/9/20,Romania,ROU,5,SearchInterest,Google
27/9/20,Romania,ROU,4,SearchInterest,Google
4/10/20,Romania,ROU,4,SearchInterest,Google
11/10/15,Russia,RUS,3,SearchInterest,Google
18/10/15,Russia,RUS,3,SearchInterest,Google
25/10/15,Russia,RUS,4,SearchInterest,Google
1/11/15,Russia,RUS,6,SearchInterest,Google
8/11/15,Russia,RUS,4,SearchInterest,Google
15/11/15,Russia,RUS,4,SearchInterest,Google
22/11/15,Russia,RUS,4,SearchInterest,Google
29/11/15,Russia,RUS,3,SearchInterest,Google
6/12/15,Russia,RUS,5,SearchInterest,Google
13/12/15,Russia,RUS,4,SearchInterest,Google
20/12/15,Russia,RUS,4,SearchInterest,Google
27/12/15,Russia,RUS,4,SearchInterest,Google
3/1/16,Russia,RUS,4,SearchInterest,Google
10/1/16,Russia,RUS,5,SearchInterest,Google
17/1/16,Russia,RUS,5,SearchInterest,Google
24/1/16,Russia,RUS,4,SearchInterest,Google
31/1/16,Russia,RUS,4,SearchInterest,Google
7/2/16,Russia,RUS,4,SearchInterest,Google
14/2/16,Russia,RUS,4,SearchInterest,Google
21/2/16,Russia,RUS,4,SearchInterest,Google
28/2/16,Russia,RUS,4,SearchInterest,Google
6/3/16,Russia,RUS,4,SearchInterest,Google
13/3/16,Russia,RUS,4,SearchInterest,Google
20/3/16,Russia,RUS,4,SearchInterest,Google
27/3/16,Russia,RUS,3,SearchInterest,Google
3/4/16,Russia,RUS,3,SearchInterest,Google
